sample_id,gene_id,raw_count
S01,GAPDH,1373
S01,ACTB,1276
S01,MYC,651
S01,IL6,267
S01,TNF,100
S01,VEGFA,160
S01,CDKN2A,280
S01,STAT3,26
S02,GAPDH,1205
S02,ACTB,961
S02,MYC,591
S02,IL6,23
S02,TNF,128
S02,VEGFA,242
S02,CDKN2A,105
S02,STAT3,155
S03,GAPDH,887
S03,ACTB,1084
S03,MYC,614
S03,IL6,47
S03,TNF,166
S03,VEGFA,267
S03,CDKN2A,40
S03,STAT3,60
S04,GAPDH,1097
S04,ACTB,817
S04,MYC,50
S04,IL6,31
S04,TNF,208
S04,VEGFA,294
S04,CDKN2A,143
S04,STAT3,164
S05,GAPDH,1219
S05,ACTB,920
S05,MYC,773
S05,IL6,35
S05,TNF,254
S05,VEGFA,291
S05,CDKN2A,265
S05,STAT3,72
S06,GAPDH,1192
S06,ACTB,1230
S06,MYC,50
S06,IL6,160
S06,TNF,15
S06,VEGFA,206
S06,CDKN2A,300
S06,STAT3,79
S07,GAPDH,1064
S07,MYC,900
S07,IL6,42
S07,TNF,111
S07,VEGFA,129
S07,STAT3,237
S08,GAPDH,1295
S08,ACTB,938
S08,MYC,237
S08,IL6,164
S08,TNF,132
S08,VEGFA,86
S08,CDKN2A,288
S08,STAT3,203
S09,GAPDH,880
S09,ACTB,906
S09,MYC,574
S09,IL6,127
S09,TNF,205
S09,VEGFA,256
S09,CDKN2A,94
S09,STAT3,40
S10,GAPDH,1290
S10,ACTB,875
S10,MYC,258
S10,IL6,40
S10,TNF,233
S10,VEGFA,28
S10,CDKN2A,193
S10,STAT3,72
S11,GAPDH,941
S11,ACTB,1138
S11,MYC,757
S11,IL6,76
S11,TNF,14
S11,VEGFA,188
S11,CDKN2A,22
S12,GAPDH,1293
S12,ACTB,1118
S12,MYC,124
S12,IL6,284
S12,TNF,27
S12,VEGFA,71
S12,CDKN2A,179
S12,STAT3,247
S13,GAPDH,1227
S13,ACTB,830
S13,MYC,636
S13,TNF,199
S13,VEGFA,41
S13,CDKN2A,64
S13,STAT3,218
S14,GAPDH,1197
S14,ACTB,1394
S14,MYC,523
S14,IL6,47
S14,TNF,268
S14,CDKN2A,251
S15,GAPDH,915
S15,ACTB,1297
S15,MYC,61
S15,IL6,78
S15,TNF,108
S15,VEGFA,180
S15,CDKN2A,231
S15,STAT3,128
S16,GAPDH,1056
S16,ACTB,1241
S16,MYC,822
S16,IL6,114
S16,TNF,167
S16,VEGFA,73
S16,CDKN2A,25
S16,STAT3,146
